kodad;ogruye
BF 301 Econometrics I;Yrd. Doç. Dr. Erhan Çankal
BF 305 Financial Statement Analysis; Doç. Dr. Ali İhsan Akgün
BF 307 Corporate Finance;Doç. Dr. Ayhan Kapusuzoğlu
BF 309 Real Estate Finance;Prof. Dr. Nildağ Başak Ceylan
BF 401 International Finance;Prof. Dr. Nildağ Başak Ceylan
BF 411 Time Series Analysis;Yrd. Doç. Dr. Erhan Çankal
BF 413 Project finance;Prof. Dr. Nildağ Başak Ceylan
BF 415 Managerial Economics;Yrd. Doç. Dr. Erhan Çankal
BUS 101 History of Science and Technology;Yrd. Doç. Dr. Murat Ulubay
BUS 103 Calculus for Business I;Yrd. Doç. Dr. Bilge Canbaloğlu
BUS 103 Calculus for Business I;Yrd. Doç. Dr. İklim Gedik Balay
BUS 103 Calculus for Business I;Yrd. Doç. Dr. Murat Ulubay
BUS 107 Introduction to Business;Doç. Dr. Nilay Sakarya
BUS 109 Fundamentals of Law;Öğr. Gör. Selma Öztürk
BUS 201 Statistics for Business I;Yrd. Doç. Dr. İklim Gedik Balay
BUS 203 Business Law;Doç. Dr. Mahmut Yavaşi
BUS 205 Introduction to Accounting;Yrd. Doç. Dr. Merve Acar Ertürk
BUS 301 Strategic Management;Prof. Prof. Dr. İsmail Erol
BUS 323 Qualitative Research;Dr. Deniz Öztürk
BUS 325 Consumer Behavior;Yrd. Doç. Dr. Özge Gökbulut Özdemir
BUS 331 Human Resource Planning and Dev.; Yrd. Doç. Dr. Hakan Dulkadiroğlu
BUS 401 Business Ethics and Corp. Soc. Res.;Doç. Dr. Kerim Özcan
BUS 403 Innovation and Entrepreneurship;Yrd. Doç. Dr. Özge Gökbulut Özdemir
BUS 421 Project Management;Doç. Dr. Nilay Sakarya
BUS 429 Sustainable Value Chain Management;Prof. Dr. İsmail Erol
ECON 101 Introduction to Economics I;Yrd. Doç. Dr. Merve Karacaer Ulusoy
ECON 101 Introduction to Economics I;Yrd. Doç. Dr. Seda Ekmen Özçelik
ITB 207 International Business;Prof. Dr. Ayşe Elif Şengün
ITB 311 International Economics I;Yrd. Doç. Dr. Seda Ekmen Özçelik
ITB 313 Global Entrepreneurship and Trade;Yrd. Doç. Dr. Haroon Muzaffar
ITB 323 International Marketing Strategy;Yrd. Doç. Dr. Özge Gökbulut Özdemir
ITB 325 International Business in Emerging Mar.;Prof. Dr. Ayşe Elif Şengün
ITB 338 International Logistic Management;Öğr. Gör. Levent Özdemir
ITB 405 Global Strategic Management;Yrd. Doç. Dr. Haroon Muzaffar
ITB 435 Global Leadership; Yrd. Doç. Dr. Hakan Dulkadiroğlu
ITB 437 Business Analysis and Valuation;Yrd. Doç. Dr. Bilge Canbaloğlu
ITB 439 Financial Forecasting and Modelling;Yrd. Doç. Dr. Merve Karacaer Ulusoy
MIS 101 Computer Programming I;Prof. Dr. Ömür Akdemir
MIS 203 Data Structures and Algorithms;Dr. Serdar Taşel
MIS 207 Computer Networks and Security;Yrd. Doç. Dr. Vildan Ateş
MIS 209 Introduction to Management Science;Dr. Çağrı Koç
MIS 307 Information System Analysis and Des.; Yrd. Dr. Vildan Ateş
MIS 321 Operations Management I;Öğr. Gör. Ourania Areta
MIS 341 Innovation and Technology Man.;Yrd. Doç. Dr. Derya Fındık
MIS 351 Graphical User Interface Des. and Prog.; Yrd. Doç. Dr. İ. Tolga Medeni
MIS 353 Management of IS Projects;Doç. Dr. Tunç D. Medeni
MIS 402 Business Intelligence and Data Mining;Yrd. Doç. Dr. Keziban Seçkin Codal
MIS 403 Introduction to Artificial Intelligence;Dr. Seda Şahin
MIS 441 Enterprise Information Systems;Öğr. Gör. Ourania Areta
MIS 471 Applied Operations Research; Doç. Dr. H. Kemal İlter
